country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New York,Bronx,2/15/2020,0,-8,-5,-3,0,1
US,United States,New York,Bronx,2/16/2020,-1,-4,5,-2,-2,0
US,United States,New York,Bronx,2/17/2020,3,-8,-11,-22,-38,10
US,United States,New York,Bronx,2/18/2020,-2,-6,-11,-7,-10,3
US,United States,New York,Bronx,2/19/2020,2,-6,0,-6,-9,2
US,United States,New York,Bronx,2/20/2020,2,-4,-6,-7,-9,2
US,United States,New York,Bronx,2/21/2020,-4,-9,-9,-11,-9,4
US,United States,New York,Bronx,2/22/2020,10,-3,23,8,4,-1
US,United States,New York,Bronx,2/23/2020,7,0,37,5,0,-1
US,United States,New York,Bronx,2/24/2020,7,-2,14,4,6,-1
US,United States,New York,Bronx,2/25/2020,0,-3,-1,2,3,0
US,United States,New York,Bronx,2/26/2020,5,-3,-3,2,2,0
US,United States,New York,Bronx,2/27/2020,8,1,-22,2,3,0
US,United States,New York,Bronx,2/28/2020,6,0,-17,3,4,0
US,United States,New York,Bronx,2/29/2020,10,-1,-15,8,4,-1
US,United States,New York,Bronx,3/1/2020,9,2,-6,3,0,0
US,United States,New York,Bronx,3/2/2020,13,6,-7,8,6,-1
US,United States,New York,Bronx,3/3/2020,8,7,6,4,4,0
US,United States,New York,Bronx,3/4/2020,11,7,16,2,2,-1
US,United States,New York,Bronx,3/5/2020,13,12,18,2,3,-1
US,United States,New York,Bronx,3/6/2020,-2,-1,4,-4,2,1
US,United States,New York,Bronx,3/7/2020,13,6,20,9,6,-1
US,United States,New York,Bronx,3/8/2020,10,6,41,4,0,-1
US,United States,New York,Bronx,3/9/2020,15,7,33,3,4,0
US,United States,New York,Bronx,3/10/2020,6,10,9,0,1,1
US,United States,New York,Bronx,3/11/2020,7,10,14,-2,0,1
US,United States,New York,Bronx,3/12/2020,6,29,2,-7,-3,2
US,United States,New York,Bronx,3/13/2020,-1,28,7,-13,-6,4
US,United States,New York,Bronx,3/14/2020,1,22,21,-4,-2,3
US,United States,New York,Bronx,3/15/2020,-7,17,21,-14,-10,4
US,United States,New York,Bronx,3/16/2020,-10,24,-19,-27,-23,10
US,United States,New York,Bronx,3/17/2020,-22,18,-21,-31,-29,13
US,United States,New York,Bronx,3/18/2020,-21,13,-9,-33,-32,14
US,United States,New York,Bronx,3/19/2020,-29,5,-24,-38,-36,16
US,United States,New York,Bronx,3/20/2020,-30,13,-8,-38,-40,18
US,United States,New York,Bronx,3/21/2020,-33,12,-10,-32,-31,13
US,United States,New York,Bronx,3/22/2020,-50,-11,-29,-46,-39,13
US,United States,New York,Bronx,3/23/2020,-61,-38,-61,-60,-54,25
US,United States,New York,Bronx,3/24/2020,-49,-13,-34,-52,-55,23
US,United States,New York,Bronx,3/25/2020,-54,-24,-49,-55,-56,25
US,United States,New York,Bronx,3/26/2020,-48,-14,-30,-52,-57,24
US,United States,New York,Bronx,3/27/2020,-51,-19,-24,-52,-57,27
US,United States,New York,Bronx,3/28/2020,-60,-28,-48,-53,-49,19
US,United States,New York,Bronx,3/29/2020,-64,-30,-51,-55,-50,16
