ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,boro_code_,shape_leng_left,shape_area,shape_leng_right,borough
10065,10065,B5,G6350,S,984654,0,40.7646284,-73.9631438,1,361212.4761,636602658.9,361212.4761,Manhattan
10069,10069,B5,G6350,S,249050,0,40.7759598,-73.990341,1,361212.4761,636602658.9,361212.4761,Manhattan
10075,10075,B5,G6350,S,477137,0,40.773363,-73.9562218,1,361212.4761,636602658.9,361212.4761,Manhattan
10128,10128,B5,G6350,S,1206191,0,40.7814283,-73.9500104,1,361212.4761,636602658.9,361212.4761,Manhattan
10162,10162,B5,G6350,S,29812,0,40.7693083,-73.9499244,1,361212.4761,636602658.9,361212.4761,Manhattan
10280,10280,B5,G6350,S,297253,38409,40.7090731,-74.016423,1,361212.4761,636602658.9,361212.4761,Manhattan
10282,10282,B5,G6350,S,177847,55133,40.7169009,-74.015119,1,361212.4761,636602658.9,361212.4761,Manhattan
10001,10001,B5,G6350,S,1591494,0,40.7506364,-73.9971767,1,361212.4761,636602658.9,361212.4761,Manhattan
10002,10002,B5,G6350,S,2275174,0,40.7157758,-73.9862109,1,361212.4761,636602658.9,361212.4761,Manhattan
10003,10003,B5,G6350,S,1493003,0,40.7318292,-73.9891809,1,361212.4761,636602658.9,361212.4761,Manhattan
10005,10005,B5,G6350,S,188254,0,40.7060041,-74.0087853,1,361212.4761,636602658.9,361212.4761,Manhattan
10006,10006,B5,G6350,S,241687,0,40.709627,-74.0129717,1,361212.4761,636602658.9,361212.4761,Manhattan
10007,10007,B5,G6350,S,413125,0,40.7138577,-74.0077768,1,361212.4761,636602658.9,361212.4761,Manhattan
10009,10009,B5,G6350,S,1597617,0,40.7263986,-73.9786335,1,361212.4761,636602658.9,361212.4761,Manhattan
10010,10010,B5,G6350,S,988475,0,40.7391043,-73.9824551,1,361212.4761,636602658.9,361212.4761,Manhattan
10011,10011,B5,G6350,S,1714087,0,40.7420427,-74.0006196,1,361212.4761,636602658.9,361212.4761,Manhattan
10012,10012,B5,G6350,S,837302,0,40.7255806,-73.9980784,1,361212.4761,636602658.9,361212.4761,Manhattan
10013,10013,B5,G6350,S,1425087,0,40.7201028,-74.0049013,1,361212.4761,636602658.9,361212.4761,Manhattan
10014,10014,B5,G6350,S,1423747,40192,40.7340123,-74.0067462,1,361212.4761,636602658.9,361212.4761,Manhattan
10016,10016,B5,G6350,S,1378167,0,40.7452206,-73.9782937,1,361212.4761,636602658.9,361212.4761,Manhattan
10017,10017,B5,G6350,S,820953,0,40.7523591,-73.9724891,1,361212.4761,636602658.9,361212.4761,Manhattan
10018,10018,B5,G6350,S,836255,0,40.755332,-73.9931395,1,361212.4761,636602658.9,361212.4761,Manhattan
10019,10019,B5,G6350,S,1804718,0,40.7658289,-73.9873413,1,361212.4761,636602658.9,361212.4761,Manhattan
