GEOID_ZIP,ALAND10,AWATER10,tot_pop,white,per_white,black,per_black,native,per_native,asian,per_asian,nativehawaiian ,per_hawaiian,other,per_other,two_or_mor,per_two_or,male,female,under_5,per_under_5,5_to_9,per_5_to_9,10_to_14,per_10_to_14,15_to_19,per_15_to_19,20_to_24,per_20_to_24,25_to_29,per_25_to_29,30_to_34,per_30_to_34,35_to_39,per_35_to_39,40_to_44,per_40_to_44,45_to_49,per_45_to_49,50_to_54,per_50_to_54,55_to_59,per_55_to_59,60_to_64,per_60_to_64,65_to_69,per_65_to_69,70_to_74,per_70_to_74,75_to_79,per_75_to_79,80_to_84,per_80_to_89,80_and_over,per_80_and_over,disabled,per_disabled,unemployment_rate,tot_households_snap,households_snap,per_households_snap,tot_pop_mobility,same_house,moved_within_1yr,less_10k,10k_15k,15k_25k,25k_35k,35k_50k,50k_75k,75k_100k,100k_150k,150k_200k,more_200k,med_income,mean_incom,speaks_only_english,naturalized,non_citizen,pop_pov,pop_below_,pcnt_pov,families_on_suplimental_income,families_on_social_security,2_ppl_fam,3_to_4_ppl,5_to_6_ppl,GT_7_ppl_f,insured,per_insured,uninsured,per_uninsured,owner,rent,per_minority,minority-majority-50,minority-majority-60,minority-majority-70,4_16_2020_positive,4_16_2020_tests,4_16_2020_positive_rate,4_2_2020_positive,4_2_2020_tests,4_2_2020_positive_rate,4_3_2020_positive,4_3_2020_tests,4_3_2020_positive_rate,4_7_2020_positive,4_7_2020_tests,4_7_2020_positive_rate,4_8_2020_positive,4_8_2020_tests,4_8_2020_positive_rate,hospital_count,3_26_bb_beds,4_2_bb_beds,4_7_bb_beds,licensed_beds,staffed_beds,ICU_beds,adult_icu_beds,pediatrics_icu_beds,bed_utilization_rate,potential_increase_bed_capacity,avg_ventilator_use,GEOID10,borough,sub_region_2,retail_and_recreation_percent_change_from_baseline_sum,grocery_and_pharmacy_percent_change_from_baseline_sum,parks_percent_change_from_baseline_sum,transit_stations_percent_change_from_baseline_sum,workplaces_percent_change_from_baseline_sum,residential_percent_change_from_baseline_sum,pop_density,per_infected
10065,984654,0,28109,24285,86.4,619,2.2,37,0.1,2666,9.5,0,0.0,154,0.5,348,1.2,12248,15861,1650,5.9,1000,3.6,916,3.3,356,1.3,1785,6.4,2671,9.5,3176,11.3,2558,9.1,1607,5.7,1570,5.6,1796,6.4,1460,5.2,1522,5.4,1388,4.9,1486,5.3,1159,4.1,954,3.4,1055,3.8,1894,6.8,70.2,14844,414,2.8,27635,22612,2247,5.0,2.7,4.0,2.7,6.2,10.6,8.8,14.4,9.8,35.8,127375,242978,19681,3045,3306,27963,1922,3.0,109,1683,3797,2267,275,13,27299,97.3,744,2.7,5365,9479,13.5,0,0,0,233,682,34.16,121,385,0.314285714,121,385,0.314285714,171,492,34.76,187,544,34.38,14,7625,7993,7993,6493,5519,745,745,402,6.647989999999999,974,181,10065,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.028547083544067257,0.008289160055498238
10069,249050,0,5085,3155,62.0,148,2.9,0,0.0,1558,30.6,0,0.0,0,0.0,224,4.4,2354,2731,368,7.2,416,8.2,274,5.4,95,1.9,235,4.6,427,8.4,594,11.7,639,12.6,508,10.0,374,7.4,378,7.4,235,4.6,197,3.9,61,1.2,87,1.7,109,2.1,0,0.0,88,1.7,182,3.6,74.7,2552,73,2.9,5025,3790,859,8.7,3.2,0.0,9.8,5.7,4.2,14.7,11.4,11.6,30.9,110625,225183,2922,331,1207,5085,522,7.3,25,88,517,662,27,0,4992,98.2,93,1.8,675,1877,37.9,0,0,0,40,105,38.1,24,57,0.42105263200000004,24,57,0.42105263200000004,29,72,40.28,32,81,39.51,9,4922,4922,4922,4093,3765,410,410,273,4.741397,328,138,10069,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.020417586829953826,0.007866273352999017
10075,477137,0,21556,18396,85.3,677,3.1,225,1.0,1047,4.9,0,0.0,902,4.2,309,1.4,10096,11460,1041,4.8,1252,5.8,736,3.4,763,3.5,778,3.6,1400,6.5,2022,9.4,1643,7.6,1148,5.3,1453,6.7,1244,5.8,1118,5.2,1131,5.2,1561,7.2,1276,5.9,1169,5.4,570,2.6,1251,5.8,1689,8.0,68.1,11035,217,2.0,21381,18455,1508,1.9,0.8,4.8,6.4,5.0,12.8,10.6,17.9,9.6,30.3,137146,233358,13727,3315,2372,21155,1075,4.5,129,1401,3133,1765,236,0,20715,97.9,440,2.1,4933,6102,14.6,0,0,0,294,631,46.59,160,371,0.43126684600000004,160,371,0.43126684600000004,204,452,45.13,232,501,46.31,15,7573,7729,7729,6277,5678,788,788,412,7.253486,599,198,10075,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.045177800086767535,0.013638894043421786
10128,1206191,0,59256,47167,79.6,2182,3.7,0,0.0,5844,9.9,0,0.0,1666,2.8,2397,4.0,25338,33918,3204,5.4,2138,3.6,1911,3.2,1691,2.9,2644,4.5,6825,11.5,7216,12.2,4349,7.3,3849,6.5,4103,6.9,3845,6.5,2989,5.0,3494,5.9,3461,5.8,2656,4.5,1980,3.3,1557,2.6,1344,2.3,4825,8.1,72.2,30691,1506,4.9,58419,48263,4921,4.5,2.2,6.5,3.6,5.6,12.4,11.2,14.6,10.0,29.4,114010,196844,39143,7054,6535,58980,3686,3.4,500,3513,8171,5192,530,3,57424,96.9,1820,3.1,10129,20562,20.400000000000002,0,0,0,460,1207,38.11,212,596,0.355704698,212,596,0.355704698,281,737,38.13,317,834,38.01,13,5936,6233,6233,4713,4177,514,514,337,6.464822,536,147,10128,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.049126547951360934,0.007762926960982854
10280,297253,38409,9384,7360,78.4,184,2.0,0,0.0,1474,15.7,0,0.0,77,0.8,289,3.1,4477,4907,711,7.6,628,6.7,454,4.8,192,2.0,239,2.5,523,5.6,1374,14.6,945,10.1,1021,10.9,771,8.2,763,8.1,530,5.6,375,4.0,370,3.9,254,2.7,79,0.8,115,1.2,40,0.4,326,3.5,83.7,4560,97,2.1,9234,7638,779,3.4,1.1,0.5,1.8,3.3,8.0,6.8,18.6,16.1,40.5,169844,224631,5618,1372,1539,9384,336,1.1,0,216,1046,1009,130,16,9027,96.2,357,3.8,1233,3327,21.6,0,0,0,32,92,34.78,17,50,0.34,17,50,0.34,20,61,32.79,23,73,31.51,4,679,688,688,713,420,35,35,28,1.790607,293,12,10280,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.03156906742741032,0.0034100596760443308
10282,177847,55133,5593,4153,74.3,61,1.1,0,0.0,1163,20.8,0,0.0,13,0.2,203,3.6,2707,2886,934,16.7,397,7.1,289,5.2,119,2.1,44,0.8,382,6.8,594,10.6,832,14.9,727,13.0,492,8.8,199,3.6,122,2.2,132,2.4,111,2.0,81,1.4,0,0.0,0,0.0,138,2.5,164,2.9,76.7,2231,25,1.1,5294,4457,485,3.3,1.9,3.2,1.3,1.5,2.3,3.5,12.7,1.8,68.5,0,330244,3467,595,950,5593,190,4.4,11,64,470,765,137,0,5517,98.6,76,1.4,192,2039,25.700000000000003,0,0,0,52,108,48.15,21,42,0.5,21,42,0.5,32,61,52.46,36,67,53.73,3,215,224,224,249,148,23,23,8,0.983361,101,0,10282,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.03144837978712039,0.00929733595565886
10001,1591494,0,22924,14422,62.9,1413,6.2,36,0.2,5774,25.2,20,0.1,661,2.9,598,2.6,11671,11253,472,2.1,526,2.3,712,3.1,1161,5.1,2068,9.0,3096,13.5,2714,11.8,1555,6.8,1664,7.3,1562,6.8,1416,6.2,1153,5.0,1425,6.2,990,4.3,603,2.6,925,4.0,423,1.8,459,2.0,1880,8.2,71.1,12431,1202,9.7,22819,18635,1944,8.8,3.9,7.5,4.2,7.7,11.2,11.0,15.6,7.6,22.5,88526,151628,14377,3887,3527,21955,2912,10.6,348,954,2360,1156,322,0,21936,95.7,988,4.3,3253,9178,37.2,0,0,0,242,521,46.45,113,265,0.426415094,113,265,0.426415094,158,337,46.88,178,384,46.35,10,5147,5359,5359,4243,3635,587,587,325,4.189904,608,117,10001,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.014404075667266104,0.01055662188099808
10002,2275174,0,74993,24168,32.2,6283,8.4,680,0.9,31089,41.5,24,0.0,9841,13.1,2908,3.9,36230,38763,2637,3.5,2640,3.5,2824,3.8,2969,4.0,4763,6.4,7593,10.1,6171,8.2,4566,6.1,4476,6.0,5492,7.3,4792,6.4,4882,6.5,5378,7.2,4159,5.5,3552,4.7,2467,3.3,2658,3.5,2974,4.0,11345,15.2,54.3,33540,10939,32.6,74416,68565,2594,14.8,12.5,13.6,8.3,10.1,12.0,8.1,9.4,4.3,6.8,35859,68315,27436,18969,12407,74356,20565,24.9,3734,5880,8372,6735,1239,219,70327,94.1,4428,5.9,4470,29070,67.8,1,1,0,666,1250,53.28,250,542,0.461254613,250,542,0.461254613,360,718,50.14,421,836,50.36,8,3510,3731,3731,3471,2679,374,374,143,4.058236,792,72,10002,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.03296143503749603,0.008880828877361887
10003,1493003,0,54682,41511,75.9,3178,5.8,88,0.2,7373,13.5,55,0.1,1215,2.2,1262,2.3,27503,27179,1767,3.2,926,1.7,670,1.2,7496,13.7,5587,10.2,7896,14.4,5922,10.8,4651,8.5,2927,5.4,2620,4.8,2284,4.2,2683,4.9,2820,5.2,2032,3.7,1408,2.6,1319,2.4,815,1.5,859,1.6,3755,6.9,67.1,26124,616,2.4,54077,37575,4676,4.7,2.4,4.7,5.6,7.2,12.7,9.2,13.2,11.1,29.2,112131,189885,41502,4076,6790,45093,3812,3.1,381,1954,5253,2619,74,0,52419,96.1,2131,3.9,8605,17519,24.1,0,0,0,329,777,42.34,161,379,0.42480211100000004,161,379,0.42480211100000004,210,490,42.86,238,563,42.27,7,3046,3267,3267,3007,2407,362,362,123,3.2509900000000003,600,60,10003,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.03662551247385303,0.006016605098569913
10005,188254,0,8831,6484,73.4,221,2.5,0,0.0,1497,17.0,0,0.0,206,2.3,423,4.8,4003,4828,522,5.9,302,3.4,176,2.0,199,2.3,1046,11.8,2101,23.8,1407,15.9,1095,12.4,826,9.4,494,5.6,237,2.7,279,3.2,35,0.4,8,0.1,76,0.9,28,0.3,0,0.0,0,0.0,144,1.6,90.0,4374,0,0.0,8756,6352,1292,7.0,1.6,1.7,0.8,2.4,7.0,6.4,18.6,13.1,41.4,173333,208186,6673,735,1236,8831,840,0.4,8,56,954,647,13,0,8594,97.3,237,2.7,859,3515,26.6,0,0,0,42,130,32.31,25,81,0.308641975,25,81,0.308641975,29,96,30.21,32,104,30.77,4,679,688,688,713,420,35,35,28,1.790607,293,12,10005,Manhattan,Manhattan,-2296,-1006,-1544,-2199,-1926,777,0.04691002581618452,0.0047559732759596875
